72.4643,165.937,66,1.5,0,0,0
105.347,166.242,67,1.5,0,1,0
71.2464,113.264,48,1.7,0,1,0
68.8107,95.9087,49,1.2,0,1,0
280.114,101.998,42,1.5,0,0,0
280.419,94.3863,68,1.2,0,0,0
349.534,120.875,79,0.6,0,0,0
361.104,120.875,79,0.6,0,0,0
371.456,120.875,70,0.6,0,0,0
667.703,168.982,135,1.8,0,0,0
92.5595,165.633,54,1.5,0,0,0
542.282,172.94,23,0.5,0,0,0
521.63,172.636,24,0.5,0,0,0
628.389,209.172,60,1.2,0,0,0
628.389,170.809,62,1.2,0,0,0
628.389,247.536,60,1.2,0,0,0
628.389,285.899,60,1.2,0,0,0
628.389,324.263,60,1.2,0,0,0
137.926,289.127,11,1.7,0,1,0
190.904,292.476,1,1.7,0,1,0
265.5,283.951,12,1.6,0,1,0
72.1599,327.186,178,0.3,0,1,0
75.509,326.272,178,0.4,0,1,0
132.425,362.2,46,1.4,0,0,0
80.6851,343.323,65,2.6,0,1,0
103.52,357.633,7,2.2,0,1,0
554.243,297.043,44,1.6,0,0,0
384.164,250.763,59,0.9,0,0,0
355.558,320.792,63,1.7,0,1,0
135.49,349.716,93,1,0,0,0
454.542,272.381,177,0.7,0,1,0
454.711,272.381,211,0.7,0,0,0
234.946,326.154,79,0.8,0,0,0
249.256,326.154,79,0.8,0,0,0
263.567,326.154,71,0.8,0,0,0
687.635,364.94,135,1.5,0,0,0
687.635,328.164,135,1.5,0,0,0
386.723,592.502,17,2.1,0,0,0
69.4196,571.189,66,2.1,0,1,0
85.2521,504.815,54,1.7,0,1,0
86.47,578.192,67,1.7,0,0,0
418.666,570.885,93,1.3,0,0,0
287.439,528.563,179,0.5,0,0,0
277.374,527.345,79,0.5,0,0,0
286.508,527.345,79,0.5,0,0,0
295.642,527.345,72,0.5,0,0,0
171.882,365.401,62,1.2,0,1,0
171.882,403.764,60,1.2,0,1,0
171.882,442.128,60,1.2,0,1,0
171.882,480.491,60,1.2,0,1,0
171.882,518.855,60,1.2,0,1,0
687.868,588.24,38,1.6,0,1,0
712.353,560.837,58,1.6,90,1,0
457.526,490.504,20,1.6,0,0,0
565.867,596.8,18,1,0,0,0
78.0488,379.684,181,0.2,0,0,0
404.017,557.36,11,1.6,270,0,0
362.697,550.473,179,0.4,0,0,0
363.156,567.461,180,0.2,0,0,0
363.156,573.429,181,0.2,0,0,0
363.156,550.933,14,0.9,0,0,0
352.597,584.448,7,2.1,0,0,0
75.1843,326.577,178,0.3,0,0,0
76.4859,322.186,179,0.4,180,0,0
75.5677,351.11,42,0.9,180,0,0
76.0268,322.186,220,0.4,0,0,0
700.218,405.086,170,0.4,0,0,0
33.9246,209.193,170,0.4,0,0,0
702.361,18.4015,170,0.4,0,0,0
702.361,18.6628,5,0.8,0,0,0
33.7317,209.638,5,0.8,0,0,0
699.657,405.061,5,0.8,0,0,0
896.231,532.92,18,1,0,0,0
814.847,555.304,135,1.6,0,0,0
225.288,121.212,87,1.1,0,0,0
244.608,124.767,56,1.5,0,0,0
213.27,124.847,56,1.5,0,0,0
468.079,565.451,45,2,0,0,0
132.377,577.717,65,2,0,0,0
