0,0,9
0,0,9
0,0,9
0,0,124
0,0,124
0,0,133
0,0,146
0,0,146
0,0,156
0,0,156
0,0,146
0,0,146
0,0,146
0,1,133
0,1,1581
0,1,133
0,2,124
0,2,1581
0,2,124
0,3,9
0,3,124
0,4,124
0,4,9
0,4,124
0,5,124
0,5,9
0,5,124
0,6,124
0,6,9
0,6,9
0,6,124
0,6,124
0,7,124
0,7,9
0,7,124
0,7,124
0,7,124
0,8,124
0,8,133
0,8,9
0,8,124
0,8,133
0,8,124
0,9,124
0,9,9
0,9,124
0,10,9
0,10,124
0,11,9
0,11,9
0,11,124
0,12,9
0,12,124
0,12,124
0,13,9
0,13,133
0,13,124
0,14,9
0,14,124
0,15,9
0,15,124
0,16,9
0,16,124
0,17,9
0,17,124
0,18,9
0,18,124
0,18,124
0,19,9
0,19,645
1,0,146
1,0,156
1,0,146
1,1,45
1,1,77
1,2,110
1,2,291
1,2,1390
1,3,1545
1,4,292
1,5,1545
1,5,1545
1,6,37
1,6,110
1,7,9
1,7,0
1,7,0
1,7,1
1,8,9
1,8,89
1,8,37
1,8,4618
1,9,9
1,9,9
1,10,9
1,10,36
1,10,4618
1,11,9
1,11,235
1,12,9
1,12,89
1,12,89
1,12,37
1,12,37
1,12,601
1,13,9
1,13,9
1,13,143
1,13,110
1,13,144
1,14,9
1,14,23
1,14,20
1,14,23
1,15,9
1,15,23
1,16,9
1,16,23
1,17,9
1,17,23
1,18,9
1,18,1070
1,18,1070
1,19,9
1,19,4103
1,19,4103
1,19,4111
1,19,4111
1,19,1135
1,19,1135
1,19,1105
2,0,146
2,0,146
2,0,156
2,0,146
2,1,77
2,1,77
2,2,111
2,2,292
2,3,1581
2,4,65
2,5,156
2,5,4108
2,6,1545
2,6,1545
2,7,9
2,7,37
2,7,1
2,7,1
2,8,9
2,9,9
2,9,89
2,9,37
2,10,9
2,11,9
2,11,89
2,11,37
2,11,237
2,12,9
2,13,9
2,13,143
2,13,110
2,13,110
2,13,110
2,13,144
2,14,9
2,15,9
2,16,9
2,17,9
2,17,65
2,18,9
2,18,1070
2,19,9
2,19,4103
2,19,4111
2,19,1135
2,19,1105
2,19,1105
3,0,146
3,0,156
3,0,146
3,1,77
3,1,77
3,2,111
3,2,292
3,2,1390
3,2,1572
3,2,1572
3,3,194
3,3,74
3,3,74
3,4,36
3,5,101
3,6,66
3,6,66
3,7,9
3,7,9
3,7,1
3,8,9
3,9,9
3,9,9
3,10,9
3,10,89
3,10,37
3,11,9
3,11,9
3,11,110
3,12,9
3,12,586
3,13,9
3,13,143
3,13,110
3,13,110
3,13,110
3,13,144
3,14,849
3,15,849
3,15,2762
3,16,849
3,17,68
3,18,9
3,18,1070
3,19,9
3,19,4103
3,19,1135
3,19,1105
4,0,146
4,0,156
4,0,146
4,1,77
4,2,292
4,2,1324
4,3,156
4,3,74
4,3,74
4,4,4107
4,5,36
4,6,66
4,7,9
4,7,37
4,7,1
4,8,9
4,8,9
4,9,9
4,9,9
4,9,89
4,9,37
4,9,37
4,10,9
4,11,9
4,11,9
4,11,89
4,11,37
4,12,9
4,13,9
4,13,143
4,13,110
4,13,110
4,13,144
4,14,346
4,15,346
4,15,2762
4,15,2762
4,16,346
4,17,68
4,18,9
4,18,1070
4,19,9
4,19,4103
4,19,1135
4,19,1105
4,19,1105
4,19,1105
4,19,1114
5,0,146
5,0,156
5,0,146
5,1,77
5,2,292
5,3,1545
5,3,1545
5,4,292
5,5,1581
5,6,37
5,7,1324
5,8,9
5,8,9
5,8,89
5,8,89
5,8,37
5,9,9
5,9,578
5,10,9
5,10,36
5,10,367
5,10,601
5,11,9
5,11,9
5,11,4620
5,12,9
5,12,89
5,12,37
5,12,345
5,13,9
5,13,143
5,13,110
5,13,144
5,14,9
5,15,9
5,16,4616
5,17,9
5,18,1070
5,19,9
5,19,4103
5,19,1135
5,19,1105
6,0,146
6,0,156
6,0,146
6,1,77
6,2,292
6,2,1324
6,3,1581
6,4,65
6,5,156
6,5,4108
6,6,1545
6,7,9
6,7,37
6,7,1
6,8,9
6,8,9
6,9,9
6,9,89
6,9,37
6,9,345
6,10,9
