85.8537,598.68,16,1.3
84.0172,590.875,7,1.5
113.859,577.561,9,1.5
100.545,580.316,9,1.1
56.4706,516.499,12,1.7
23.4146,597.303,11,1.2
482.525,577.561,24,0.8
590.416,577.561,23,0.8
538.537,596.844,18,1
371.879,592.253,60,1
371.879,623.013,60,1
430.187,528.436,49,1
22.4964,571.593,65,1
150.129,590.416,67,1
110.646,516.958,56,1
121.664,516.958,56,1
55.5524,573.429,50,1
402.181,529.813,39,1.1
639.348,591.793,60,1.1
639.348,556.901,60,1.1
639.348,522.927,60,1.1
639.348,488.034,60,1.1
478.852,604.648,73,0.2
483.443,604.648,71,0.2
488.034,604.648,79,0.2
588.121,603.73,75,0.2
593.171,603.73,76,0.2
581.482,570.89,78,0.2
585.155,570.89,70,0.2
588.369,570.89,70,0.2
